지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
131,2015-03-31,13.7,13.7,13.7,0.0,0.2,46.3
131,2015-04-01,13.0,13.0,13.0,0.5,1.1,99.1
131,2015-04-02,11.2,11.2,11.2,0.0,1.6,65.8
133,2015-03-31,12.8,12.8,12.8,0.0,1.7,74.0
133,2015-04-01,13.2,13.2,13.2,0.0,0.6,99.3
133,2015-04-02,10.1,10.1,10.1,0.0,4.8,83.1
135,2015-03-31,10.7,10.7,10.7,0.0,0.6,56.8
135,2015-04-01,11.3,11.3,11.3,0.0,0.8,94.5
135,2015-04-02,7.2,7.2,7.2,0.0,3.8,86.9
136,2015-03-31,13.2,13.2,13.2,0.0,1.5,45.7
136,2015-04-01,12.0,12.0,12.0,0.0,0.5,94.6
136,2015-04-02,7.9,7.9,7.9,0.0,0.4,75.1
137,2015-03-31,15.5,15.5,15.5,0.0,2.2,55.3
137,2015-04-01,12.3,12.3,12.3,0.0,0.0,91.5
137,2015-04-02,8.5,8.5,8.5,0.0,1.4,81.9
138,2015-03-31,15.7,15.7,15.7,0.0,2.4,57.2
138,2015-04-01,16.5,16.5,16.5,0.0,1.6,82.2
138,2015-04-02,9.1,9.1,9.1,0.0,2.8,81.3
140,2015-03-31,8.9,8.9,8.9,0.0,0.2,99.4
140,2015-04-01,13.3,13.3,13.3,0.0,0.5,99.4
140,2015-04-02,9.9,9.9,9.9,0.0,2.1,99.4
143,2015-03-31,15.3,15.3,15.3,0.0,1.1,66.9
143,2015-04-01,15.2,15.2,15.2,0.0,0.6,95.7
143,2015-04-02,9.8,9.8,9.8,0.0,3.8,81.4
146,2015-03-31,11.2,11.2,11.2,0.0,0.6,64.8
146,2015-04-01,16.4,16.4,16.4,0.0,0.9,86.3
146,2015-04-02,12.7,12.7,12.7,0.0,2.8,82.6
151,2015-03-31,7.6,7.6,7.6,0.0,1.5,
151,2015-04-01,14.8,14.8,14.8,0.0,0.5,
151,2015-04-02,10.1,10.1,10.1,0.0,2.5,
152,2015-03-31,14.5,14.5,14.5,0.0,0.2,58.0
152,2015-04-01,15.5,15.5,15.5,0.0,1.1,90.4
152,2015-04-02,10.7,10.7,10.7,0.0,2.4,70.5
155,2015-03-31,12.0,12.0,12.0,0.0,1.1,82.4
155,2015-04-01,14.4,14.4,14.4,0.0,0.0,92.8
155,2015-04-02,10.6,10.6,10.6,0.0,1.3,77.3
156,2015-03-31,14.1,14.1,14.1,0.0,1.6,66.1
156,2015-04-01,16.0,16.0,16.0,0.0,0.5,83.3
156,2015-04-02,13.5,13.5,13.5,0.0,2.2,71.3
159,2015-03-31,14.6,14.6,14.6,0.0,6.2,71.9
159,2015-04-01,15.2,15.2,15.2,0.5,1.2,99.8
159,2015-04-02,10.7,10.7,10.7,0.0,3.5,77.4
160,2015-03-31,10.7,10.7,10.7,0.0,9.3,85.4
160,2015-04-01,13.6,13.6,13.6,0.5,5.3,97.9
160,2015-04-02,6.2,6.2,6.2,0.0,4.7,93.6
162,2015-03-31,12.3,12.3,12.3,0.0,1.0,97.0
162,2015-04-01,14.0,14.0,14.0,0.0,0.8,97.9
162,2015-04-02,10.6,10.6,10.6,0.0,3.1,76.7
163,2015-03-31,9.8,9.8,9.8,0.0,3.0,
163,2015-04-01,15.3,15.3,15.3,0.0,2.0,
163,2015-04-02,12.8,12.8,12.8,0.0,5.0,
165,2015-03-31,12.5,12.5,12.5,0.0,2.6,99.9
165,2015-04-01,15.2,15.2,15.2,0.0,2.9,99.9
165,2015-04-02,12.2,12.2,12.2,0.0,4.5,98.1
167,2015-03-31,10.6,10.6,10.6,0.0,0.0,
167,2015-04-01,13.5,13.5,13.5,0.0,1.0,
167,2015-04-02,10.4,10.4,10.4,0.0,4.0,
168,2015-03-31,12.9,12.9,12.9,0.0,0.2,84.5
168,2015-04-01,13.9,13.9,13.9,0.0,2.6,89.3
